2013-12-01 16:35:58 - PHP Notice:  Error: Could not load template /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/autolinks.tpl! in /var/www/thelovestore/data/www/thelovestore.ru/vqmod/vqcache/vq2-system_engine_controller.php on line 90
2013-12-01 16:45:31 - PHP Notice:  Undefined variable: button_save in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 23
2013-12-01 16:45:31 - PHP Notice:  Undefined variable: cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 16:45:31 - PHP Notice:  Undefined variable: button_cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 16:45:44 - PHP Notice:  Undefined variable: button_save in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 23
2013-12-01 16:45:44 - PHP Notice:  Undefined variable: cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 16:45:44 - PHP Notice:  Undefined variable: button_cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 16:49:45 - PHP Notice:  Undefined variable: button_save in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 23
2013-12-01 16:49:45 - PHP Notice:  Undefined variable: cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 16:49:45 - PHP Notice:  Undefined variable: button_cancel in /var/www/thelovestore/data/www/thelovestore.ru/admin/view/template/catalog/seoeditor.tpl on line 24
2013-12-01 23:04:07 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:04:07 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=4') AS keyword FROM oc_information WHERE information_id = '4' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:04:14 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:04:14 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=4') AS keyword FROM oc_information WHERE information_id = '4' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:04:36 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:04:36 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=6') AS keyword FROM oc_information WHERE information_id = '6' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:08:06 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:08:06 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=4') AS keyword FROM oc_information WHERE information_id = '4' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:12:58 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:12:58 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=4') AS keyword FROM oc_information WHERE information_id = '4' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:13:26 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:13:26 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=3') AS keyword FROM oc_information WHERE information_id = '3' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:16:48 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:16:48 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'product_id=3795') AS keyword FROM oc_product p LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) WHERE p.product_id = '3795' AND pd.language_id = '1' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:17:06 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:17:06 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR ' &gt; ') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '1' GROUP BY cp.category_id) AS path, (SELECT keyword FROM oc_url_alias WHERE query = 'category_id=169') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '169' AND cd2.language_id = '1' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:19:36 - PHP Notice:  Error: Table 'thelovestore.oc_url_alias' doesn't exist<br />Error No: 1146<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=3') AS keyword FROM oc_information WHERE information_id = '3' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:20:04 - PHP Notice:  Error: Table 'thelovestore.oc_url_alias' doesn't exist<br />Error No: 1146<br />SHOW COLUMNS FROM oc_url_alias WHERE field = 'language_id' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:27:09 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:27:09 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT keyword FROM oc_url_alias WHERE query = 'information_id=4') AS keyword FROM oc_information WHERE information_id = '4' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:28:01 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:28:01 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR ' &gt; ') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '1' GROUP BY cp.category_id) AS path, (SELECT keyword FROM oc_url_alias WHERE query = 'category_id=261') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '261' AND cd2.language_id = '1' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-01 23:28:07 - PHP Warning:  mysql_query(): Unable to save result set in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 22
2013-12-01 23:28:07 - PHP Notice:  Error: Subquery returns more than 1 row<br />Error No: 1242<br />SELECT DISTINCT *, (SELECT GROUP_CONCAT(cd1.name ORDER BY level SEPARATOR ' &gt; ') FROM oc_category_path cp LEFT JOIN oc_category_description cd1 ON (cp.path_id = cd1.category_id AND cp.category_id != cp.path_id) WHERE cp.category_id = c.category_id AND cd1.language_id = '1' GROUP BY cp.category_id) AS path, (SELECT keyword FROM oc_url_alias WHERE query = 'category_id=261') AS keyword FROM oc_category c LEFT JOIN oc_category_description cd2 ON (c.category_id = cd2.category_id) WHERE c.category_id = '261' AND cd2.language_id = '1' in /var/www/thelovestore/data/www/thelovestore.ru/system/database/mysql.php on line 50
2013-12-04 13:14:44 - PHP Notice:  Undefined index: company_id in /var/www/thelovestore/data/www/thelovestore.ru/admin/model/sale/customer.php on line 32
2013-12-04 13:14:44 - PHP Notice:  Undefined index: tax_id in /var/www/thelovestore/data/www/thelovestore.ru/admin/model/sale/customer.php on line 32
2013-12-04 13:14:51 - PHP Notice:  Undefined index: company_id in /var/www/thelovestore/data/www/thelovestore.ru/admin/model/sale/customer.php on line 32
2013-12-04 13:14:51 - PHP Notice:  Undefined index: tax_id in /var/www/thelovestore/data/www/thelovestore.ru/admin/model/sale/customer.php on line 32
